avg_price,closed_price,datetime,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,name,open_price,rarity,volume,wa_price
15.0,15.0,2021-02-13,12.0,15.0,6028685aecdd910023cc7267,15.0,15.0,15.0,0.0,13.2,Conductor,15.0,Rare,1.0,15.0
22.5,25.0,2021-02-13,15.0,30.0,60286809ecdd910023cc6625,30.0,20.0,15.0,3.0,23.5,Constitution,15.0,Rare,13.0,20.462
9.5,9.0,2021-02-13,9.0,11.0,60286866ecdd910025cac0c0,10.0,9.0,9.0,0.0,9.9,Contagion Cloud,9.0,Rare,3.0,9.333
3.0,3.0,2021-02-11,3.0,5.0,6025c516ecdd910025c8adbb,3.0,3.0,3.0,0.0,3.9,Contagious Spread,3.0,Uncommon,1.0,3.0
12.0,12.0,2021-02-13,5.0,20.0,60286817ecdd910024cc3ad2,12.0,12.0,12.0,5.0,11.2,Continuity,12.0,Rare,1.0,12.0
2.0,2.0,2021-02-07,1.0,3.0,60207f57ecdd910023c68058,2.0,2.0,2.0,0.0,2.0,Convulsion,2.0,Uncommon,1.0,2.0
13.0,13.0,2021-02-11,13.0,15.0,6025c56aecdd910023ca7ed6,13.0,13.0,13.0,0.0,13.4,Corroding Barrage,13.0,Rare,1.0,13.0
10.5,11.0,2021-02-13,8.0,15.0,60286872ecdd910025cac349,11.0,10.0,10.0,3.0,10.8,Corrupt Charge,10.0,Rare,6.0,10.333
11.0,11.0,2021-02-13,10.0,15.0,60286859ecdd910023cc722d,11.0,11.0,11.0,0.0,13.0,Counter Pulse,11.0,Rare,1.0,11.0
5.0,5.0,2021-02-12,3.0,5.0,60271722ecdd910025c9c314,5.0,5.0,5.0,0.0,4.2,Covert Lethality,5.0,Rare,1.0,5.0
2.5,2.0,2021-02-13,1.0,3.0,6028680fecdd910023cc6688,3.0,2.0,2.0,0.0,2.1,Creeping Bullseye,3.0,Rare,4.0,2.25
10.0,10.0,2021-02-07,10.0,15.0,60207f53ecdd910023c67f9c,10.0,10.0,10.0,0.0,14.0,Creeping Terrify,10.0,Rare,1.0,10.0
3.0,3.0,2021-02-13,1.0,3.0,60286819ecdd910024cc3b25,3.0,3.0,3.0,0.0,2.1,Critical Deceleration,3.0,Rare,1.0,3.0
12.0,10.0,2021-02-13,10.0,15.0,60286895ecdd910025cac8a3,14.0,12.0,10.0,0.0,11.4,Critical Surge,14.0,Rare,2.0,12.0
15.0,15.0,2021-02-12,10.0,24.0,602716ddecdd910024cb3bc8,15.0,15.0,15.0,0.0,14.2,Curative Undertow,15.0,Rare,1.0,15.0
15.0,15.0,2021-02-13,15.0,18.0,60286890ecdd910025cac788,15.0,15.0,15.0,0.0,15.3,Damzav-Vati,15.0,Rare,1.0,15.0
